Persian,Transliteration

مادر,/mādar/
مترو,/mitru/
اسب,/'asb/
نوزاد,/nu[w]zād/
پاکیزه,/pākīzih/
تاختن,/tākhtan/
رویان شناسی,/rūyānshināsī/
رویاننده,/rūyānandih/
بربست,/barbast/
آک,/'āk/
بربستن,/barbastan/
آقطی,/'āqtī/
زری بافی,/zarībāfī/
لبن,/laban/
زری باف,/zarībāf/
چریدن گاه,/cha(i)rīdangāh/
مدد,/madad/
مدخوله,/madkhūlih/
ملل,/malal/
ملکیت,/milkīy[y]at/
دشنه,/dishnih/
اکسیژن,/'uksīžin/
اکسیژناسیون,/'uksīžināsīyun/
چریدنی,/cha(i)rīdanī/
غلغلک,/qilqilak/
آبار,/'ābār/
دشنگی,/dashangī/
لبنگ,/labang/
چترک,/chatrak/
باتون,/bātūn/
چترکش,/chatrkish/
باتوم,/bātūm/
خیال اندیش,/khīyāl[']andīsh/
فترت,/fatrat/
خیالاتی,/khīyālātī/
فتردن,/fiturdan/
خاک اره,/khāk[']arrih/
خاک آلود,/khāk[']ālūd/
تقطیر,/taqtīr/
تقطع,/taqattu'/
سازمندی,/sāzmandī/
سازمند,/sāzmand/
ناشادمان,/nāshād[i]mān/
الام,/'ulām/
ناشایست,/nāshāyist/
الاله,/'alālih/
حزین,/hazīn/
مندفع,/mundafi'/
مندرس,/mundaris/
پراکن,/parākan/
اورند,/'u[w]rand/
اورنجن,/'u[w]ranjan/
اکتشاف,/'iktishāf/
هشت صد,/hashtsad/
قدریه,/qadarīy[y]ih/
هشتگانه,/hashtgānih/
اکتساب,/'iktisāb/
دالانه,/dālānih/
ممات,/mamāt/
ملیون,/millīy[y]ūn/
مستشیر,/mustashīr/
د داری,
مستصحب,/mustashib/
شیرک خانه,/shīrakkhānih/
دز,/diz/
قدرناشناسی,/qadrnāshināsī/
زبان آور,/zabān[']āvar/
اورا,/'ūrā/
دوشس,/dūshis/
دوشک,/dushak/
اوراد,/'u[w]rād/
رنگدانه,/rangdānih/
گریستن,/girīstan/
ناخنک,/nākhunak/
اوابد,/'avābid/
تریاق,/ta(i)r[ī]yāq/
توتک,/tūtak/
مفتول,/maftūl/
تریاسه,/tir[ī]yāsih/
سامر,/sāmir/
آلیزش,/'ālīzish/
آلیزارین,/'ālīzārīn/
میلی متر,/mīlīmitr/
کازینو,/kāzīnu/
میلی گرم,/mīlīgiram/
مستدل,/mustadal[l]/
آفدم,/'āfdum/
غریزی,/qarīzī/
